person_id	street1	street2	street3	city	countrysubdivisioncode	countrycode	postalcode	longitude	latitude
0009655768c64bdeb2e877511632db8f	1001 13th St S			Virginia	MN	US	557923254	-92.55	47.51
00116118485d4dfda04fdbaba9a87b5c	"7000 NE Airport Way, MB#3"			Portland	OR	US	972181031	-122.59	45.59
0011e0d4e6b944f998e987f904e8c1e5	120 Hawley Ln			Trumbull	CT	US	66115347	-73.15	41.23
0020c2b971eb4e9188eac86d93036a77	3450 Marron Rd			Oceanside	CA	US	920564672	-117.3	33.18
0020ccbbb6d84e358d3414a3ff76cffd	9998 Commons St.			Lone Tree	CO	US	80124	-104.88	39.54
003d66b6608740288d6cc97a6903f4f0	1 Sunvalley Mall	D 115	Sunvalley Mall	Concord	CA	US	945205801	-122.06	37.97
00426fe3ffde4c6b9cb9ad6d077a13ea	126 Broadway			Hillsdale	NJ	US	76422023	-74.04	41
004b041fbfe44859945daa2c7f79ee64	3540 Mt. Diablo Blvd.			Lafayette	CA	US	945493814	-122.12	37.89
004c5799adbf42868b9cff0396190900	641 N 8th St			Richmond	VA	US	232985072	-77.43	37.54
005500a7188546ff8a767329a2f7c76a	1109 Yelm Ave E			Yelm	WA	US	985977683	-122.59	46.93
0056df74b63b4298809f0b375a304cf4	2200 Norview Ave.			Norfolk	VA	US	235185816	-76.22	36.9
0063def0f9c14bc4805322a488839b32	12469 Rancho Bernardo Road		Rancho Bernardo Village	San Diego	CA	US	921282143	-117.06	33.02
0069a50874d846438e58acff5e594725	5550 Lafayette			Indianapolis	IN	US	462541697	-86.26	39.85
00715b6e55c3431cb56ff7307eb19675	1190 Alameda Avenue	Suite G-2		Burbank	CA	US	915062806	-118.31	34.16
0082fd87c18f45f2be70dbcbb0fb8aad	505-A Grand Avenue			Walnut	CA	US	917892144	-117.84	34.03
00840a2ca5d2408e982d56544dc14ffd	13401 Blue Heron Beach Dr.			Orlando	FL	US	328216375	-81.5	28.37
00857b24b13f4fe0ad17b605f00357f5	1920 S Nevada Ave			Colorado Springs	CO	US	809053407	-104.82	38.81
008d7088107b468893889da0ede0df5c	2511 Anthem Village Dr			Henderson	NV	US	890525504	-115.1	35.98
0091d2b6a5ea4defaa8393e4e816db60	10401 N Michigan Rd			Carmel	IN	US	460327939	-86.23	39.94
0092a132ead946ceb30d11a1ed513d20	245 East 80th St			New York	NY	US	10075	-73.95	40.77
0099bf30e4cb4265875266eb3eb25eab	820 Woodside Road			Redwood City	CA	US	940613746	-122.22	37.47
009d10c2c38a4fd795a7bc6ddbbddb78	9329 Whittier Blvd			Pico Rivera	CA	US	906602746	-118.08	34
00a794f62b9a48beb58f8f6c02c2f1a6	12330 Crabapple  Rd			Alpharetta	GA	US	300046698	-84.36	34.08
00ad4c2cace94f67a6354ec90d6c6f45	966 Old Mill Run			The Villages	FL	US	321621675	-81.97	28.91
00ae03011f9f49b8a4b3e6d416678b0b	1414 Golf Road			Rolling Meadows	IL	US	600084206	-88	42.05
00aee28bbb3848dd8a31f0c91dc267dd	9990 Avenida Vista Hermosa			San Clemente	CA	US	92673	-117.6	33.46
00b18b535d6d4f779dea4dc9ac451478	3605 El Camino Real			Santa Clara	CA	US	950512605	-122	37.35
00b3400e4ff64ee68ce9ada1d0c222f0	6471-90 Almaden Expressway			San Jose	CA	US	95120	-121.86	37.22
00b3c376db2a4115af3aef34a02f61d6	607 E. Main Street	A		Ventura	CA	US	930012847	-119.29	34.28
00b5fb9d842d437e83033ad9e36f7148	3300 Bee Caves Rd			Austin	TX	US	787466600	-97.8	30.28
00b901d68f8f4fd68075184cd0f772d2	1011 Baldwin Park Blvd.			Baldwin Park	CA	US	91706	-117.99	34.06
00bbce6533f44ddeaf4dd32bcab55441	840 E Hobson Way			Blythe	CA	US	922251800	-114.59	33.61
00bc42a62f884b41a13cc595856cf7c3	195 Placerville Road	130		Folsom	CA	US	956306319	-121.11	38.65
00bc983061d3471e8c8e74d31b7c8b6f	4609 S Timberline Rd	Unit A101		Fort Collins	CO	US	805283170	-105.04	40.52
00c20a9202d5475190b31a24de6fb06d	5000 Arizona Mills Circle	Suite #391		Tempe	AZ	US	85282	-111.96	33.38
00c2f812f4604c8893152a5c6572030e	4507 Flamingo Rd			Las Vegas	NV	US	89103	-115.2	36.12
00c32a104f0c4065b5b552895fb22e34	465 INVESTORS PLACE			Virginia Beach	VA	US	234521143	-76.13	36.83
00c5a385c71a4d3db5e9b4e31e430943	2771 Monument Road	41		Jacksonville	FL	US	322255549	-81.5	30.36
00c6035df45840038a72766c6d27a0db	4600 International Gateway			Columbus	OH	US	432191765	-82.89	40
00c91f31f5f74e769fa7a359b63e1a9f	5963 Corson Avenue South	"Building A, Unit 184"		Seattle	WA	US	981082619	-122.32	47.55
00ceaf16a40341e6996d543d04daa2c2	16199 Boones Ferry Rd.			Lake Oswego	OR	US	970354201	-122.72	45.41
00cf1bbec83f4a658f8994e556db4633	6850 NE Bothell Way			Kenmore	WA	US	980282404	-122.25	47.76
00cf471ed1aa42a8bdde5561d67da2b1	12921 SW 1st Road	Suite 111		Newberry	FL	US	326695709	-82.48	29.66
00d6dc87be4146ceb47fcd4baaaf6477	859 N. Highland Avenue			Los Angeles	CA	US	90038	-118.34	34.09
00d791e20c564add8056498e40eb56cc	512 East Alto Rd.		Southway Plaza	Kokomo	IN	US	469024311	-86.13	40.44
00d7c95f793a4212af44e632fdc1e431	7700 Maple Street		Earth & Fire	New Orleans	LA	US	701183959	-90.13	29.94
00d91c5919514448bc4f718e4e3f26ab	14444 W. CENTER RD.			OMAHA	NE	US	68144	-96.14	41.23
00e20b4ca129458aaab0f4727ef3513a	"1455 K St., NW"			Washington	DC	US	200054904	-77.03	38.9
00e52682848542c3a6f59b7824e9a5c5	10800 West Pico Blvd.	Spc. #139	Westside Pavilion	Los Angeles	CA	US	90064	-118.43	34.04
00e8d701c583461e81cc10053681a12b	350 E 40th Ave			Eugene	OR	US	974053404	-123.09	44.01
00e9f403afa641889cd034ee7c7ca6e9	400 Ridgeville Blvd.		Mount Airy Shopping Center	Mount Airy	MD	US	217715216	-77.16	39.36
00ed7e22b32749cfafbfd88592d401d4	111 east ocean Boulevard			Long Beach	CA	US	908024794	-118.19	33.77
00ee2ca6421c4af0aeca60a1b3e00f6c	130 Fulton Street			New York	NY	US	100382504	-74.01	40.71
00ee69db83964d6da32f8109b32a1ce7	4200 Chino Hills Parkway	145	Chino Hills Marketplace	Chino Hills	CA	US	917093776	-117.71	33.98
00fac72fd6ad448e8019b175267023df	1733 E Palm Canyon Dr			Palm Springs	CA	US	92264	-116.53	33.8
00fbb9b5edb94f02afbaf1eb49bb4d7d	100 Universal City Plaza			Universal City	CA	US	91608	-118.36	34.14
00fdd4416dec40b49180814c0a7c8d76	1030 West Boston Post Rd			Mamaroneck	NY	US	105433328	-73.74	40.94
0100dbd4e8554aa69b73b6ac0547f6bf	16769 N Washington St		Lakeridge	Thornton	CO	US	800238969	-104.98	40
0103de989e084e0fab400e80678d7591	100 McLellan Dr	1075	Transit Village	South San Francisco	CA	US	940807529	-122.45	37.66
0106d19a26af41288035afc4b9b6c2c2	540 Benfield Rd.			Severna Park	MD	US	211462542	-76.58	39.08
01162252405b4524a8fa1bf8e6d5f04b	8025 Day Creek Blvd.		Victoria Gardens	Rancho Cucamonga	CA	US	917398029	-117.54	34.11
01176ee7289b48e39ee6261d5c071a07	26792 Portola Pkwy			Foothill Ranch	CA	US	926101712	-117.67	33.69
0118fbb66dd2443a9dd407d2c99a7672	1101 W Jackson Blvd			Chicago	IL	US	606072905	-87.65	41.88
0121fe001b7a404fa9cbe486f8944baf	6850 North Lombard			Portland	OR	US	972036247	-122.74	45.59
0123564dbaf144a88a418c33b6350c17	2720 Castro Valley Blvd			Castro Valley	CA	US	945465412	-122.09	37.69
012ee55a90bd4d969b0d0cdfaffdf6ab	827 West 41st Street	Unit #2		Miami Beach	FL	US	33140	-80.13	25.81
